Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,3,"4,300",80 to 90,800 to 900,Jan-24
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,3,"10,500",100 to 110,"1,000 to 1,100",Jan-24
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"6,100",100 to 110,"1,100 to 1,200",Jan-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Jan-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"5,300",70 to 80,800 to 900,Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"7,000",90 to 100,"900 to 1,000",Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,100",90 to 100,"1,000 to 1,100",Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,500",150 to 160,"1,600 to 1,700",Jan-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Jan-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Jan-24
EON SHENTON,SHENTON WAY,02,Non-Landed Properties,3,"7,800",100 to 110,"1,000 to 1,100",Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"11,700",310 to 320,"3,300 to 3,400",Jan-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,500",80 to 90,800 to 900,Jan-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,300",40 to 50,400 to 500,Jan-24
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"7,800",150 to 160,"1,600 to 1,700",Jan-24
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"3,900",50 to 60,500 to 600,Jan-24
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,3,"8,500",150 to 160,"1,700 to 1,800",Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,300",70 to 80,700 to 800,Jan-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"4,500",70 to 80,800 to 900,Jan-24
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,4,"15,700",240 to 250,"2,600 to 2,700",Jan-24
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,4,"8,500",150 to 160,"1,600 to 1,700",Jan-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,4,"8,500",170 to 180,"1,800 to 1,900",Jan-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"11,300",190 to 200,"2,000 to 2,100",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,600",90 to 100,"1,000 to 1,100",Jan-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"2,900",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jan-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,2,"5,300",60 to 70,600 to 700,Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,764",60 to 70,600 to 700,Jan-24
MARINA COLLECTION,COVE DRIVE,04,Non-Landed Properties,4,"11,500",200 to 210,"2,100 to 2,200",Jan-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,1,"4,200",60 to 70,600 to 700,Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"5,000",60 to 70,600 to 700,Jan-24
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,300",60 to 70,600 to 700,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,100",40 to 50,500 to 600,Jan-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Jan-24
THE GRANDHILL,PASIR PANJANG HILL,05,Non-Landed Properties,2,"4,800",90 to 100,"1,000 to 1,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,250",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"3,900",60 to 70,600 to 700,Jan-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Jan-24
SEASCAPE,COVE WAY,04,Non-Landed Properties,4,"16,800",290 to 300,"3,100 to 3,200",Jan-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,2,"5,200",70 to 80,800 to 900,Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"6,800",80 to 90,"900 to 1,000",Jan-24
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,2,"4,550",60 to 70,700 to 800,Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"6,300",90 to 100,"1,000 to 1,100",Jan-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,250",100 to 110,"1,100 to 1,200",Jan-24
SEVEN PALMS SENTOSA COVE,COVE DRIVE,04,Non-Landed Properties,2,"18,500",240 to 250,"2,600 to 2,700",Jan-24
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jan-24
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,1,"2,300",30 to 40,400 to 500,Jan-24
THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,03,Non-Landed Properties,3,"7,300",110 to 120,"1,200 to 1,300",Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,4,"8,000",130 to 140,"1,400 to 1,500",Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"5,300",60 to 70,600 to 700,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"5,900",100 to 110,"1,000 to 1,100",Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"6,000",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"7,100",120 to 130,"1,200 to 1,300",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Jan-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,3,"5,700",130 to 140,"1,400 to 1,500",Jan-24
TIONG BAHRU ESTATE,ENG WATT STREET,03,Non-Landed Properties,NA,"3,600",80 to 90,"900 to 1,000",Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,500",70 to 80,700 to 800,Jan-24
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,4,"8,500",160 to 170,"1,700 to 1,800",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"4,000",60 to 70,700 to 800,Jan-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,800",70 to 80,700 to 800,Jan-24
THE CREST,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,900",70 to 80,700 to 800,Jan-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,100",30 to 40,300 to 400,Jan-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,3,"8,500",140 to 150,"1,600 to 1,700",Jan-24
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,1,"4,000",70 to 80,700 to 800,Jan-24
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,900",60 to 70,600 to 700,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,550",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jan-24
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,200",90 to 100,"1,000 to 1,100",Jan-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"11,800",190 to 200,"2,100 to 2,200",Jan-24
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"6,900",150 to 160,"1,700 to 1,800",Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"4,700",60 to 70,600 to 700,Jan-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,200",100 to 110,"1,100 to 1,200",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,000",80 to 90,"900 to 1,000",Jan-24
MOUNT FABER LODGE,MOUNT FABER ROAD,04,Non-Landed Properties,2,"4,000",100 to 110,"1,100 to 1,200",Jan-24
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,2,"9,500",80 to 90,800 to 900,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,3,"6,500",90 to 100,"900 to 1,000",Jan-24
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"12,500",280 to 290,"3,000 to 3,100",Jan-24
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,3,"7,000",100 to 110,"1,100 to 1,200",Jan-24
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"13,500",230 to 240,"2,500 to 2,600",Jan-24
CARABELLE,WEST COAST WAY,05,Non-Landed Properties,3,"5,700",120 to 130,"1,300 to 1,400",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Jan-24
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"9,000",110 to 120,"1,200 to 1,300",Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,000",70 to 80,700 to 800,Jan-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"7,500",110 to 120,"1,200 to 1,300",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Jan-24
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,1,"4,400",50 to 60,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"3,350",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Jan-24
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"8,316",120 to 130,"1,300 to 1,400",Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Jan-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,3,"5,800",90 to 100,"1,000 to 1,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jan-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"5,200",80 to 90,"900 to 1,000",Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,500",80 to 90,"900 to 1,000",Jan-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"18,000",300 to 310,"3,200 to 3,300",Jan-24
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jan-24
ECHELON,ALEXANDRA VIEW,03,Non-Landed Properties,1,"9,000",120 to 130,"1,300 to 1,400",Jan-24
NON-LANDED HOUSING DEVELOPMENT,TIONG POH ROAD,03,Non-Landed Properties,NA,"5,700",70 to 80,700 to 800,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,250",50 to 60,600 to 700,Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Jan-24
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Jan-24
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"5,000",110 to 120,"1,200 to 1,300",Jan-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,700",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,100",80 to 90,"900 to 1,000",Jan-24
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,3,"6,600",100 to 110,"1,100 to 1,200",Jan-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"3,550",50 to 60,500 to 600,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,250",60 to 70,700 to 800,Jan-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,NA,"4,600",80 to 90,"900 to 1,000",Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,050",50 to 60,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,200",50 to 60,600 to 700,Jan-24
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"19,500",280 to 290,"3,100 to 3,200",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Jan-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,050",80 to 90,"900 to 1,000",Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,500",100 to 110,"1,000 to 1,100",Jan-24
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,650",40 to 50,400 to 500,Jan-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,1,"4,000",60 to 70,700 to 800,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,500",80 to 90,"900 to 1,000",Jan-24
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,000",70 to 80,800 to 900,Jan-24
HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,04,Non-Landed Properties,1,"3,500",70 to 80,700 to 800,Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,1,"5,500",50 to 60,500 to 600,Jan-24
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,4,"7,000",120 to 130,"1,300 to 1,400",Jan-24
NON-LANDED HOUSING DEVELOPMENT,TIONG POH ROAD,03,Non-Landed Properties,NA,"5,100",80 to 90,800 to 900,Jan-24
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"5,350",70 to 80,700 to 800,Jan-24
MARINA COLLECTION,COVE DRIVE,04,Non-Landed Properties,4,"9,500",200 to 210,"2,100 to 2,200",Jan-24
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"5,400",100 to 110,"1,100 to 1,200",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jan-24
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,3,"5,350",120 to 130,"1,300 to 1,400",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,000",40 to 50,500 to 600,Jan-24
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"6,000",130 to 140,"1,400 to 1,500",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jan-24
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,500",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,100",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jan-24
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,700",70 to 80,700 to 800,Jan-24
ALEX RESIDENCES,ALEXANDRA VIEW,03,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Jan-24
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,2,"3,900",80 to 90,"900 to 1,000",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,Jan-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"5,420",50 to 60,600 to 700,Jan-24
DOMAIN 21,DELTA ROAD,03,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Jan-24
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,250",60 to 70,600 to 700,Jan-24
WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jan-24
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jan-24
NEWEST,WEST COAST DRIVE,05,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jan-24
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"11,500",190 to 200,"2,100 to 2,200",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jan-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,100",90 to 100,"900 to 1,000",Jan-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Jan-24
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,850",60 to 70,600 to 700,Jan-24
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,3,"7,350",130 to 140,"1,400 to 1,500",Jan-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,250",80 to 90,"900 to 1,000",Jan-24
THE PEAK@BALMEG,BALMEG HILL,05,Non-Landed Properties,2,"4,800",110 to 120,"1,200 to 1,300",Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,NA,"3,300",40 to 50,500 to 600,Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Jan-24
HARVEST MANSIONS,HAVELOCK ROAD,03,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,800",70 to 80,700 to 800,Jan-24
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"4,800",90 to 100,"900 to 1,000",Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",40 to 50,500 to 600,Jan-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,3,"2,300",90 to 100,"900 to 1,000",Jan-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,4,"14,000",220 to 230,"2,400 to 2,500",Jan-24
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"4,800",90 to 100,"900 to 1,000",Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,050",40 to 50,500 to 600,Jan-24
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Jan-24
KAI FOOK MANSION,KIM TIAN ROAD,03,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,050",50 to 60,500 to 600,Jan-24
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Jan-24
NON-LANDED HOUSING DEVELOPMENT,ENG HOON STREET,03,Non-Landed Properties,NA,"7,500",80 to 90,"900 to 1,000",Jan-24
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"4,500",110 to 120,"1,200 to 1,300",Jan-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",40 to 50,500 to 600,Jan-24
NON-LANDED HOUSING DEVELOPMENT,MOH GUAN TERRACE,03,Non-Landed Properties,NA,"7,000",100 to 110,"1,000 to 1,100",Jan-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,200",50 to 60,600 to 700,Jan-24
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Jan-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,2,"4,800",70 to 80,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jan-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,NA,"4,500",60 to 70,600 to 700,Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"4,800",70 to 80,800 to 900,Jan-24
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,3,"13,200",120 to 130,"1,300 to 1,400",Jan-24
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,600",140 to 150,"1,500 to 1,600",Jan-24
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"9,000",180 to 190,"2,000 to 2,100",Jan-24
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,4,"6,900",120 to 130,"1,300 to 1,400",Jan-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,750",50 to 60,600 to 700,Jan-24
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,350",90 to 100,"1,000 to 1,100",Jan-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Jan-24
MARGARET VILLE,MARGARET DRIVE,03,Non-Landed Properties,2,"5,800",80 to 90,"900 to 1,000",Jan-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,500",80 to 90,800 to 900,Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,3,"5,400",80 to 90,"900 to 1,000",Jan-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Jan-24
